iter	Passed	Remaining
428	1723	2639
429	1727	2635
430	1731	2631
431	1735	2627
432	1739	2623
433	1743	2619
434	1747	2614
435	1751	2610
436	1754	2606
437	1759	2602
438	1763	2599
439	1767	2595
440	1771	2590
441	1775	2586
442	1779	2582
443	1783	2578
444	1787	2574
445	1791	2570
446	1795	2566
447	1799	2562
448	1801	2556
449	1805	2551
450	1809	2547
451	1813	2543
452	1817	2539
453	1821	2535
454	1825	2531
455	1829	2527
456	1832	2522
457	1835	2516
458	1838	2511
459	1842	2507
460	1846	2503
461	1850	2499
462	1854	2495
463	1856	2489
464	1860	2484
465	1864	2480
466	1868	2476
467	1872	2472
468	1875	2467
469	1879	2463
470	1884	2460
471	1888	2456
472	1892	2452
473	1895	2447
474	1899	2443
475	1903	2439
476	1907	2435
477	1911	2431
478	1915	2427
479	1919	2423
480	1923	2419
481	1927	2415
482	1931	2411
483	1935	2407
484	1939	2403
485	1943	2399
486	1947	2395
487	1951	2391
488	1955	2387
489	1959	2383
490	1963	2378
491	1966	2374
492	1971	2370
493	1974	2366
494	1978	2362
495	1982	2358
496	1986	2354
497	1990	2350
498	1994	2346
499	1998	2342
500	2002	2338
501	2006	2334
502	2010	2329
503	2013	2325
504	2017	2321
505	2019	2315
506	2023	2310
507	2027	2306
508	2031	2303
509	2035	2299
510	2039	2295
511	2043	2290
512	2047	2286
513	2051	2282
514	2055	2278
515	2058	2274
516	2062	2270
517	2066	2266
518	2070	2262
519	2074	2257
520	2078	2253
521	2082	2249
522	2085	2245
523	2089	2241
524	2094	2237
525	2098	2233
526	2102	2229
527	2106	2225
528	2109	2221
529	2113	2217
530	2117	2213
531	2121	2209
532	2125	2205
533	2129	2201
534	2133	2197
535	2137	2193
536	2141	2188
537	2144	2184
538	2148	2180
539	2152	2176
540	2156	2172
541	2160	2168
542	2164	2164
543	2167	2160
544	2172	2156
545	2175	2152
546	2179	2147
547	2183	2143
548	2187	2140
549	2191	2135
550	2195	2131
551	2199	2127
552	2203	2123
553	2206	2119
554	2210	2115
555	2214	2111
556	2218	2107
557	2222	2103
558	2226	2099
559	2230	2094
560	2234	2090
561	2237	2086
562	2241	2082
563	2245	2078
564	2249	2074
565	2253	2070
566	2257	2066
567	2261	2062
568	2264	2057
569	2268	2053
570	2272	2049
571	2276	2045
572	2280	2041
573	2284	2037
574	2288	2033
575	2292	2029
576	2295	2025
577	2299	2021
578	2303	2017
579	2307	2013
580	2311	2008
581	2314	2004
582	2318	2000
583	2323	1996
584	2326	1992
585	2330	1988
586	2334	1984
587	2338	1980
588	2342	1976
589	2345	1972
590	2349	1968
591	2353	1964
592	2357	1960
593	2361	1955
594	2365	1951
595	2369	1947
596	2372	1943
597	2376	1939
598	2380	1935
599	2384	1931
600	2387	1926
601	2391	1922
602	2395	1918
603	2399	1914
604	2403	1910
605	2407	1906
606	2411	1902
607	2414	1898
608	2418	1894
609	2422	1890
610	2426	1886
611	2430	1882
612	2434	1878
613	2438	1874
614	2442	1870
615	2445	1866
616	2449	1862
617	2453	1857
618	2457	1853
619	2461	1849
620	2465	1845
621	2469	1841
622	2472	1837
623	2476	1833
624	2480	1829
625	2484	1825
626	2488	1821
627	2492	1817
628	2496	1813
629	2502	1811
630	2507	1808
631	2512	1804
632	2517	1801
633	2521	1797
634	2525	1793
635	2529	1789
636	2533	1785
637	2537	1781
638	2541	1777
639	2545	1773
640	2549	1769
641	2553	1765
642	2557	1761
643	2561	1757
644	2564	1753
645	2568	1749
646	2572	1745
647	2576	1741
648	2580	1737
649	2584	1733
650	2587	1729
651	2591	1725
652	2595	1721
653	2599	1717
654	2603	1712
655	2607	1708
656	2611	1704
657	2614	1700
658	2618	1696
659	2622	1692
660	2626	1688
661	2629	1684
662	2633	1680
663	2638	1676
664	2642	1672
665	2646	1668
666	2649	1664
667	2653	1660
668	2657	1656
669	2661	1652
670	2665	1648
671	2669	1644
672	2673	1640
673	2677	1636
674	2680	1632
675	2684	1628
676	2688	1624
677	2692	1620
678	2696	1616
679	2700	1612
680	2704	1608
681	2708	1604
682	2712	1600
683	2716	1596
684	2719	1592
685	2723	1588
686	2727	1584
687	2731	1580
688	2735	1576
689	2739	1572
690	2743	1568
691	2747	1564
692	2750	1559
693	2754	1555
694	2758	1551
695	2763	1548
696	2766	1544
697	2770	1540
698	2774	1536
699	2778	1532
700	2782	1527
701	2785	1523
702	2789	1519
703	2793	1515
704	2797	1511
705	2801	1507
706	2805	1503
707	2809	1500
708	2813	1496
709	2817	1492
710	2821	1488
711	2825	1484
712	2829	1480
713	2833	1476
714	2837	1472
715	2841	1468
716	2844	1464
717	2849	1460
718	2853	1456
719	2856	1452
720	2860	1448
721	2864	1444
722	2868	1440
723	2872	1436
724	2875	1431
725	2879	1428
726	2883	1423
727	2887	1420
728	2891	1416
729	2895	1412
730	2899	1408
731	2903	1404
732	2907	1400
733	2911	1396
734	2915	1392
735	2919	1388
736	2923	1384
737	2927	1380
738	2931	1376
739	2935	1372
740	2939	1368
741	2942	1364
742	2946	1360
743	2950	1356
744	2954	1352
745	2958	1348
746	2962	1344
747	2966	1340
748	2970	1336
749	2974	1332
750	2978	1328
751	2981	1324
752	2986	1320
753	2990	1316
754	2993	1312
755	2997	1308
756	3001	1304
757	3005	1300
758	3008	1296
759	3012	1292
760	3016	1288
761	3021	1284
762	3025	1280
763	3029	1276
764	3032	1272
765	3036	1268
766	3040	1264
767	3044	1260
768	3048	1256
769	3052	1252
770	3056	1248
771	3060	1244
772	3064	1240
773	3068	1236
774	3071	1232
775	3075	1228
776	3079	1224
777	3083	1220
778	3087	1216
779	3091	1212
780	3095	1208
781	3099	1204
782	3103	1200
783	3107	1196
784	3111	1192
785	3115	1189
786	3119	1185
787	3122	1180
788	3126	1177
789	3130	1173
790	3134	1169
791	3138	1165
792	3142	1161
793	3146	1157
794	3150	1153
795	3154	1149
796	3158	1145
797	3162	1141
798	3166	1137
799	3170	1133
800	3174	1129
801	3178	1125
802	3181	1121
803	3185	1117
804	3189	1113
805	3193	1109
806	3197	1105
807	3200	1101
808	3204	1097
809	3208	1093
810	3212	1089
811	3216	1085
812	3220	1081
813	3224	1077
814	3228	1073
815	3232	1069
816	3236	1065
817	3240	1061
818	3244	1057
819	3248	1053
820	3251	1049
821	3255	1045
822	3259	1041
823	3263	1037
824	3267	1033
825	3271	1029
826	3275	1025
827	3279	1021
828	3283	1017
829	3287	1013
830	3291	1009
831	3295	1005
832	3299	1001
833	3303	998
834	3306	994
835	3310	990
836	3314	986
837	3318	982
838	3322	978
839	3326	974
840	3330	970
841	3334	966
842	3337	962
843	3341	958
844	3345	954
845	3349	950
846	3353	946
847	3357	942
848	3361	938
849	3365	934
850	3369	930
851	3372	926
852	3376	922
853	3380	918
854	3384	914
855	3389	910
856	3392	906
857	3396	902
858	3400	898
859	3404	894
860	3407	890
861	3411	886
862	3415	882
863	3419	878
864	3423	874
865	3427	870
866	3431	866
867	3434	862
868	3438	858
869	3442	854
870	3446	850
871	3450	846
872	3454	842
873	3458	838
874	3462	834
875	3466	831
876	3470	827
877	3474	823
878	3479	819
879	3483	815
880	3487	811
881	3491	807
882	3495	803
883	3499	799
884	3503	795
885	3507	791
886	3511	787
887	3515	783
888	3518	779
889	3522	775
890	3526	771
891	3530	767
892	3534	763
893	3538	759
894	3542	755
895	3545	751
896	3549	747
897	3553	743
898	3557	740
899	3561	736
900	3565	732
901	3569	728
902	3572	724
903	3576	720
904	3580	716
905	3585	712
906	3589	708
907	3593	704
908	3597	700
909	3600	696
910	3604	692
911	3608	688
912	3612	684
913	3616	680
914	3620	676
915	3624	672
916	3628	668
917	3632	664
918	3636	660
919	3639	656
920	3643	652
921	3647	648
922	3651	644
923	3654	640
924	3659	636
925	3663	632
926	3667	629
927	3671	625
928	3675	621
929	3679	617
930	3682	613
931	3686	609
932	3690	605
933	3694	601
934	3699	597
935	3703	593
936	3707	589
937	3711	585
938	3715	581
939	3719	577
940	3723	573
941	3726	569
942	3730	565
943	3734	561
944	3738	557
945	3742	553
946	3746	549
947	3750	545
948	3754	542
949	3758	538
950	3761	534
951	3765	530
952	3769	526
953	3773	522
954	3777	518
955	3781	514
956	3785	510
957	3788	506
958	3792	502
959	3796	498
960	3800	494
961	3804	490
962	3808	486
963	3812	482
964	3816	478
965	3820	474
966	3824	470
967	3828	466
968	3831	462
969	3835	458
970	3840	454
971	3844	450
972	3848	446
973	3852	442
974	3855	438
975	3859	434
976	3863	431
977	3867	427
978	3871	423
979	3875	419
980	3879	415
981	3883	411
982	3886	407
983	3890	403
984	3894	399
985	3898	395
986	3902	391
987	3906	387
988	3910	383
989	3914	379
990	3918	375
991	3923	371
992	3928	367
993	3933	364
994	3938	360
995	3942	356
996	3946	352
997	3950	348
998	3953	344
999	3957	340
1000	3962	336
1001	3965	332
1002	3969	328
1003	3973	324
1004	3977	320
1005	3981	316
1006	3985	312
1007	3989	308
1008	3993	304
1009	3996	300
1010	4000	296
1011	4004	292
1012	4008	288
1013	4012	284
1014	4015	280
1015	4019	276
1016	4024	273
1017	4027	269
1018	4031	265
1019	4035	261
1020	4039	257
1021	4043	253
1022	4046	249
1023	4051	245
1024	4055	241
1025	4058	237
1026	4062	233
1027	4066	229
1028	4070	225
1029	4074	221
1030	4078	217
1031	4082	213
1032	4086	209
1033	4090	205
1034	4094	201
1035	4097	197
1036	4101	193
1037	4105	189
1038	4109	185
1039	4113	181
1040	4117	178
1041	4121	174
1042	4125	170
1043	4128	166
1044	4132	162
1045	4136	158
1046	4140	154
1047	4144	150
1048	4148	146
1049	4151	142
1050	4155	138
1051	4159	134
1052	4163	130
1053	4167	126
1054	4171	122
1055	4175	118
1056	4179	114
1057	4183	110
1058	4187	106
1059	4190	102
1060	4194	98
1061	4198	94
1062	4202	90
1063	4206	86
1064	4210	83
1065	4214	79
1066	4218	75
1067	4222	71
1068	4226	67
1069	4230	63
1070	4234	59
1071	4238	55
1072	4241	51
1073	4245	47
1074	4249	43
1075	4253	39
1076	4257	35
1077	4261	31
1078	4265	27
1079	4269	23
1080	4273	19
1081	4277	15
1082	4281	11
1083	4284	7
1084	4288	3
1085	4292	0
